review_id,product_name,reviewer_name,rating,review_text,platform,clean_review,vader_sentiment,vader_score,textblob_sentiment,textblob_score,true_sentiment
146,Running Shoes,Neha,2,"The Running Shoes is a total scam, completely different from the pictures.",Amazon,running shoe total scam completely different picture,negative,-0.5719,neutral,0.0,negative
147,Gaming Keyboard,Priya,1,"Terrible experience, the Gaming Keyboard does not match the product description.",Flipkart,terrible experience gaming keyboard not match product description,negative,-0.4767,negative,-1.0,negative
148,Gaming Keyboard,Kavya,3,"Decent Gaming Keyboard for the price, some minor issues but usable.",Flipkart,decent gaming keyboard price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
149,Smartwatch,Vikram,2,"The Smartwatch is a total scam, completely different from the pictures.",Amazon,smartwatch total scam completely different picture,negative,-0.5719,neutral,0.0,negative
150,Office Chair,Priya,2,Very disappointed with this Office Chair. Stopped working within a week.,Flipkart,disappointed office chair stopped working within week,negative,-0.6478,negative,-0.9750000000000001,negative
151,Power Bank 10000mAh,Anjali,5,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Amazon,happy power bank mah definitely buy brand,positive,0.7713,positive,0.5,positive
152,Laptop Backpack,Arjun,2,"Poor build quality, the Laptop Backpack feels cheap and flimsy.",Flipkart,poor build quality laptop backpack feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
153,Wireless Mouse,Rahul,4,Amazing value for money. The Wireless Mouse looks premium and works great.,Amazon,amazing value money wireless mouse look premium work great,positive,0.8834,positive,0.7000000000000001,positive
154,Wireless Mouse,Isha,3,"Okay-ish product, the Wireless Mouse performs as expected, nothing more.",Flipkart,okay ish product wireless mouse performs expected nothing,neutral,0.0,positive,0.2,neutral
155,Smartphone Back Cover,Manoj,2,Very disappointed with this Smartphone Back Cover. Stopped working within a week.,Flipkart,disappointed smartphone back cover stopped working within week,negative,-0.6478,negative,-0.48750000000000004,negative
156,Cotton T-Shirt,Pooja,2,"Terrible experience, the Cotton T-Shirt does not match the product description.",Amazon,terrible experience cotton shirt not match product description,negative,-0.4767,negative,-1.0,negative
157,Cotton T-Shirt,Kavya,5,Absolutely loved this Cotton T-Shirt! Works perfectly and arrived on time.,Amazon,absolutely loved cotton shirt work perfectly arrived time,positive,0.8653,positive,0.9375,positive
158,Cotton T-Shirt,Priya,2,"Terrible experience, the Cotton T-Shirt does not match the product description. Shipping was quick.",Flipkart,terrible experience cotton shirt not match product description shipping quick,negative,-0.4767,negative,-0.33333333333333337,negative
159,Kitchen Mixer Grinder,Pooja,5,"Superb product! The Kitchen Mixer Grinder exceeded my expectations, five stars.",Flipkart,superb product kitchen mixer grinder exceeded expectation five star,positive,0.6588,positive,1.0,positive
160,Air Fryer,Riya,2,The Air Fryer arrived damaged and customer service was unhelpful.,Flipkart,air fryer arrived damaged customer service unhelpful,negative,-0.4404,neutral,0.0,negative
161,Bluetooth Speaker,Kavya,5,Amazing value for money. The Bluetooth Speaker looks premium and works great.,Flipkart,amazing value money bluetooth speaker look premium work great,positive,0.8834,positive,0.7000000000000001,positive
162,Smartphone Back Cover,Pooja,3,"The Smartphone Back Cover is average, packaging could have been better.",Amazon,smartphone back cover average packaging could better,positive,0.4404,positive,0.11666666666666665,neutral
163,Running Shoes,Nisha,5,"Excellent quality Running Shoes, totally worth the price. Highly recommended! Packaging was neat.",Amazon,excellent quality running shoe totally worth price highly recommended packaging neat,positive,0.8828,positive,0.5,positive
164,Wireless Bluetooth Earbuds,Rohit,1,"Not worth the price, this Wireless Bluetooth Earbuds broke on the second day.",Amazon,not worth price wireless bluetooth earbuds broke second day,negative,-0.5371,neutral,-0.075,negative
165,Gaming Keyboard,Kavya,1,"Not worth the price, this Gaming Keyboard broke on the second day.",Flipkart,not worth price gaming keyboard broke second day,negative,-0.5371,neutral,-0.075,negative
166,Wireless Mouse,Vikram,4,"Perfect Wireless Mouse for daily use, no issues at all after a month.",Amazon,perfect wireless mouse daily use no issue month,positive,0.3612,positive,0.5,positive
167,LED Desk Lamp,Amit,4,Best LED Desk Lamp I have bought online. Great build quality and fast delivery.,Amazon,best led desk lamp bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
168,Wireless Bluetooth Earbuds,Priya,5,"Superb product! The Wireless Bluetooth Earbuds exceeded my expectations, five stars. Would consider buying again.",Amazon,superb product wireless bluetooth earbuds exceeded expectation five star would consider buying,positive,0.6588,positive,1.0,positive
169,Power Bank 10000mAh,Pooja,4,"Excellent quality Power Bank 10000mAh, totally worth the price. Highly recommended!",Amazon,excellent quality power bank mah totally worth price highly recommended,positive,0.8062,positive,0.5,positive
170,Kitchen Mixer Grinder,Sanjay,4,"Perfect Kitchen Mixer Grinder for daily use, no issues at all after a month.",Flipkart,perfect kitchen mixer grinder daily use no issue month,positive,0.3612,positive,0.5,positive
171,Kitchen Mixer Grinder,Karan,1,Very disappointed with this Kitchen Mixer Grinder. Stopped working within a week.,Flipkart,disappointed kitchen mixer grinder stopped working within week,negative,-0.6478,negative,-0.9750000000000001,negative
172,Cotton T-Shirt,Suresh,4,Great purchase! The Cotton T-Shirt is durable and easy to use.,Amazon,great purchase cotton shirt durable easy use,positive,0.807,positive,0.7166666666666667,positive
173,Smartphone Back Cover,Nisha,5,"Perfect Smartphone Back Cover for daily use, no issues at all after a month.",Flipkart,perfect smartphone back cover daily use no issue month,positive,0.3612,positive,0.3333333333333333,positive
174,Kitchen Mixer Grinder,Sneha,4,"This Kitchen Mixer Grinder is fantastic, exactly as described. Very satisfied customer.",Amazon,kitchen mixer grinder fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
175,Running Shoes,Manoj,5,"Superb product! The Running Shoes exceeded my expectations, five stars.",Flipkart,superb product running shoe exceeded expectation five star,positive,0.6588,positive,1.0,positive
176,Running Shoes,Arjun,2,"Poor build quality, the Running Shoes feels cheap and flimsy.",Flipkart,poor build quality running shoe feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
177,Laptop Backpack,Rahul,1,Delivery was late and the Laptop Backpack was defective on arrival. Shipping was quick.,Flipkart,delivery late laptop backpack defective arrival shipping quick,negative,-0.4404,neutral,0.016666666666666663,negative
178,Smartphone Back Cover,Deepak,1,"Poor build quality, the Smartphone Back Cover feels cheap and flimsy.",Flipkart,poor build quality smartphone back cover feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
179,Cotton T-Shirt,Priya,5,Amazing value for money. The Cotton T-Shirt looks premium and works great.,Flipkart,amazing value money cotton shirt look premium work great,positive,0.8834,positive,0.7000000000000001,positive
180,Air Fryer,Kavya,5,"Excellent quality Air Fryer, totally worth the price. Highly recommended! Not sure if I will repurchase.",Amazon,excellent quality air fryer totally worth price highly recommended not sure repurchase,positive,0.7229,positive,0.3125,positive
181,USB-C Charging Cable,Deepak,1,"Poor build quality, the USB-C Charging Cable feels cheap and flimsy.",Amazon,poor build quality usb charging cable feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
182,Wireless Mouse,Arjun,4,Impressed by the quality of the Wireless Mouse. Packaging was also very good.,Amazon,impressed quality wireless mouse packaging also good,positive,0.7425,positive,0.955,positive
183,Laptop Backpack,Anjali,5,"Very happy with this Laptop Backpack, will definitely buy again from this brand.",Amazon,happy laptop backpack definitely buy brand,positive,0.7713,positive,0.5,positive
184,Air Fryer,Amit,1,"Waste of money, the Air Fryer quality is really poor.",Amazon,waste money air fryer quality really poor,negative,-0.7346,negative,-0.30000000000000004,negative
185,Power Bank 10000mAh,Anjali,5,"This Power Bank 10000mAh is fantastic, exactly as described. Very satisfied customer.",Flipkart,power bank mah fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
186,Bluetooth Speaker,Vikram,1,"The Bluetooth Speaker is a total scam, completely different from the pictures.",Amazon,bluetooth speaker total scam completely different picture,negative,-0.5719,neutral,0.0,negative
187,Wireless Mouse,Divya,2,"Waste of money, the Wireless Mouse quality is really poor.",Flipkart,waste money wireless mouse quality really poor,negative,-0.7346,negative,-0.30000000000000004,negative
188,Air Fryer,Sneha,5,"Very happy with this Air Fryer, will definitely buy again from this brand.",Flipkart,happy air fryer definitely buy brand,positive,0.7713,positive,0.5,positive
189,Running Shoes,Neha,5,"Perfect Running Shoes for daily use, no issues at all after a month.",Amazon,perfect running shoe daily use no issue month,positive,0.3612,positive,0.5,positive
190,Smartwatch,Rohit,4,"Perfect Smartwatch for daily use, no issues at all after a month. Would consider buying again.",Amazon,perfect smartwatch daily use no issue month would consider buying,positive,0.3612,positive,0.5,positive
191,Wireless Mouse,Divya,4,Amazing value for money. The Wireless Mouse looks premium and works great.,Amazon,amazing value money wireless mouse look premium work great,positive,0.8834,positive,0.7000000000000001,positive
192,Laptop Backpack,Priya,5,"Superb product! The Laptop Backpack exceeded my expectations, five stars.",Flipkart,superb product laptop backpack exceeded expectation five star,positive,0.6588,positive,1.0,positive
193,Wireless Bluetooth Earbuds,Deepak,5,"Excellent quality Wireless Bluetooth Earbuds, totally worth the price. Highly recommended!",Flipkart,excellent quality wireless bluetooth earbuds totally worth price highly recommended,positive,0.8062,positive,0.5,positive
194,Power Bank 10000mAh,Suresh,1,"Terrible experience, the Power Bank 10000mAh does not match the product description.",Amazon,terrible experience power bank mah not match product description,negative,-0.4767,negative,-1.0,negative
195,Wireless Mouse,Pooja,3,"Reasonable Wireless Mouse, matches the description mostly.",Amazon,reasonable wireless mouse match description mostly,neutral,0.0,positive,0.35,neutral
196,Running Shoes,Sanjay,2,"Not worth the price, this Running Shoes broke on the second day.",Amazon,not worth price running shoe broke second day,negative,-0.5371,neutral,-0.075,negative
197,Running Shoes,Rahul,3,"The Running Shoes is average, packaging could have been better. Packaging was neat.",Amazon,running shoe average packaging could better packaging neat,positive,0.7096,positive,0.175,neutral
198,LED Desk Lamp,Vikram,5,Amazing value for money. The LED Desk Lamp looks premium and works great.,Amazon,amazing value money led desk lamp look premium work great,positive,0.8834,positive,0.7000000000000001,positive
199,Smartphone Back Cover,Rahul,5,"Superb product! The Smartphone Back Cover exceeded my expectations, five stars.",Amazon,superb product smartphone back cover exceeded expectation five star,positive,0.6588,positive,0.5,positive
200,Wireless Mouse,Deepak,2,Delivery was late and the Wireless Mouse was defective on arrival.,Flipkart,delivery late wireless mouse defective arrival,negative,-0.4404,negative,-0.3,negative
201,Gaming Keyboard,Riya,3,"The Gaming Keyboard is average, packaging could have been better. Shipping was quick.",Flipkart,gaming keyboard average packaging could better shipping quick,positive,0.4404,positive,0.22777777777777777,neutral
202,Cotton T-Shirt,Rahul,4,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand.",Flipkart,happy cotton shirt definitely buy brand,positive,0.7713,positive,0.5,positive
203,Kitchen Mixer Grinder,Rahul,5,Absolutely loved this Kitchen Mixer Grinder! Works perfectly and arrived on time.,Amazon,absolutely loved kitchen mixer grinder work perfectly arrived time,positive,0.8653,positive,0.9375,positive
204,Air Fryer,Priya,2,"I regret buying this Air Fryer, it stopped functioning after few uses.",Flipkart,regret buying air fryer stopped functioning us,negative,-0.5719,negative,-0.2,negative
205,Office Chair,Sanjay,2,"Not worth the price, this Office Chair broke on the second day.",Amazon,not worth price office chair broke second day,negative,-0.5371,neutral,-0.075,negative
206,Wireless Bluetooth Earbuds,Anjali,4,Amazing value for money. The Wireless Bluetooth Earbuds looks premium and works great.,Amazon,amazing value money wireless bluetooth earbuds look premium work great,positive,0.8834,positive,0.7000000000000001,positive
207,Smartwatch,Neha,1,Delivery was late and the Smartwatch was defective on arrival.,Flipkart,delivery late smartwatch defective arrival,negative,-0.4404,negative,-0.3,negative
208,Running Shoes,Suresh,1,"The Running Shoes is a total scam, completely different from the pictures.",Amazon,running shoe total scam completely different picture,negative,-0.5719,neutral,0.0,negative
209,USB-C Charging Cable,Nisha,5,"This USB-C Charging Cable is fantastic, exactly as described. Very satisfied customer.",Amazon,usb charging cable fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
210,USB-C Charging Cable,Karan,5,Best USB-C Charging Cable I have bought online. Great build quality and fast delivery.,Amazon,best usb charging cable bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
211,Air Fryer,Suresh,2,"Waste of money, the Air Fryer quality is really poor.",Amazon,waste money air fryer quality really poor,negative,-0.7346,negative,-0.30000000000000004,negative
212,Cotton T-Shirt,Divya,1,"Really bad Cotton T-Shirt, would not recommend to anyone.",Flipkart,really bad cotton shirt would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
213,Wireless Bluetooth Earbuds,Riya,5,Best Wireless Bluetooth Earbuds I have bought online. Great build quality and fast delivery.,Amazon,best wireless bluetooth earbuds bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
214,Smartwatch,Sanjay,3,"It's a fine Smartwatch, met basic expectations, could be better. Shipping was quick.",Amazon,fine smartwatch met basic expectation could better shipping quick,positive,0.5719,positive,0.3125,neutral
215,Cotton T-Shirt,Vikram,5,"Perfect Cotton T-Shirt for daily use, no issues at all after a month.",Amazon,perfect cotton shirt daily use no issue month,positive,0.3612,positive,0.5,positive
216,Laptop Backpack,Priya,1,"The Laptop Backpack is a total scam, completely different from the pictures.",Flipkart,laptop backpack total scam completely different picture,negative,-0.5719,neutral,0.0,negative
217,USB-C Charging Cable,Manoj,2,"Not worth the price, this USB-C Charging Cable broke on the second day.",Amazon,not worth price usb charging cable broke second day,negative,-0.5371,neutral,-0.075,negative
218,LED Desk Lamp,Deepak,5,Great purchase! The LED Desk Lamp is durable and easy to use.,Flipkart,great purchase led desk lamp durable easy use,positive,0.807,positive,0.7166666666666667,positive
219,Kitchen Mixer Grinder,Rohit,2,"I regret buying this Kitchen Mixer Grinder, it stopped functioning after few uses.",Amazon,regret buying kitchen mixer grinder stopped functioning us,negative,-0.5719,negative,-0.2,negative
220,Gaming Keyboard,Sneha,5,Great purchase! The Gaming Keyboard is durable and easy to use.,Amazon,great purchase gaming keyboard durable easy use,positive,0.807,positive,0.7166666666666667,positive
221,Bluetooth Speaker,Sanjay,5,Best Bluetooth Speaker I have bought online. Great build quality and fast delivery.,Amazon,best bluetooth speaker bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
222,Gaming Keyboard,Amit,5,"Superb product! The Gaming Keyboard exceeded my expectations, five stars.",Flipkart,superb product gaming keyboard exceeded expectation five star,positive,0.6588,positive,1.0,positive
223,Wireless Bluetooth Earbuds,Rahul,5,Amazing value for money. The Wireless Bluetooth Earbuds looks premium and works great.,Flipkart,amazing value money wireless bluetooth earbuds look premium work great,positive,0.8834,positive,0.7000000000000001,positive
224,Smartwatch,Vikram,5,"Excellent quality Smartwatch, totally worth the price. Highly recommended!",Amazon,excellent quality smartwatch totally worth price highly recommended,positive,0.8062,positive,0.5,positive
225,Bluetooth Speaker,Vikram,3,"Reasonable Bluetooth Speaker, matches the description mostly.",Flipkart,reasonable bluetooth speaker match description mostly,neutral,0.0,positive,0.35,neutral
226,Kitchen Mixer Grinder,Vikram,1,"Waste of money, the Kitchen Mixer Grinder quality is really poor.",Flipkart,waste money kitchen mixer grinder quality really poor,negative,-0.7346,negative,-0.30000000000000004,negative
227,Smartphone Back Cover,Divya,2,"Not worth the price, this Smartphone Back Cover broke on the second day. Packaging was neat.",Flipkart,not worth price smartphone back cover broke second day packaging neat,negative,-0.1195,neutral,-0.049999999999999996,negative
228,Smartphone Back Cover,Deepak,4,Great purchase! The Smartphone Back Cover is durable and easy to use.,Amazon,great purchase smartphone back cover durable easy use,positive,0.807,positive,0.4777777777777778,positive
229,Power Bank 10000mAh,Kavya,4,"This Power Bank 10000mAh is fantastic, exactly as described. Very satisfied customer.",Flipkart,power bank mah fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
230,Laptop Backpack,Isha,2,"Waste of money, the Laptop Backpack quality is really poor. Customer support responded quickly.",Amazon,waste money laptop backpack quality really poor customer support responded quickly,negative,-0.4989,neutral,-0.08888888888888892,negative
231,Running Shoes,Pooja,3,"The Running Shoes is okay, does the job but nothing special.",Flipkart,running shoe okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
232,Power Bank 10000mAh,Sneha,5,"Excellent quality Power Bank 10000mAh, totally worth the price. Highly recommended!",Flipkart,excellent quality power bank mah totally worth price highly recommended,positive,0.8062,positive,0.5,positive
233,Laptop Backpack,Anjali,5,Impressed by the quality of the Laptop Backpack. Packaging was also very good.,Flipkart,impressed quality laptop backpack packaging also good,positive,0.7425,positive,0.955,positive
234,Power Bank 10000mAh,Priya,5,Best Power Bank 10000mAh I have bought online. Great build quality and fast delivery. Not sure if I will repurchase.,Flipkart,best power bank mah bought online great build quality fast delivery not sure repurchase,positive,0.8094,positive,0.4375,positive
235,Smartwatch,Neha,4,"Superb product! The Smartwatch exceeded my expectations, five stars.",Flipkart,superb product smartwatch exceeded expectation five star,positive,0.6588,positive,1.0,positive
236,Gaming Keyboard,Rohit,4,"Very happy with this Gaming Keyboard, will definitely buy again from this brand.",Flipkart,happy gaming keyboard definitely buy brand,positive,0.7713,positive,0.5,positive
237,USB-C Charging Cable,Suresh,3,"The USB-C Charging Cable is okay, does the job but nothing special.",Flipkart,usb charging cable okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
238,Smartphone Back Cover,Karan,2,"I regret buying this Smartphone Back Cover, it stopped functioning after few uses.",Flipkart,regret buying smartphone back cover stopped functioning us,negative,-0.5719,neutral,-0.1,negative
239,Laptop Backpack,Sanjay,5,Great purchase! The Laptop Backpack is durable and easy to use.,Flipkart,great purchase laptop backpack durable easy use,positive,0.807,positive,0.7166666666666667,positive
240,Wireless Mouse,Anjali,4,"This Wireless Mouse is fantastic, exactly as described. Very satisfied customer.",Flipkart,wireless mouse fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
241,USB-C Charging Cable,Nisha,5,Amazing value for money. The USB-C Charging Cable looks premium and works great.,Flipkart,amazing value money usb charging cable look premium work great,positive,0.8834,positive,0.7000000000000001,positive
242,Laptop Backpack,Nisha,2,"Poor build quality, the Laptop Backpack feels cheap and flimsy. Would consider buying again.",Flipkart,poor build quality laptop backpack feel cheap flimsy would consider buying,negative,-0.4767,neutral,0.0,negative
243,Bluetooth Speaker,Karan,1,Very disappointed with this Bluetooth Speaker. Stopped working within a week.,Flipkart,disappointed bluetooth speaker stopped working within week,negative,-0.6478,negative,-0.9750000000000001,negative
244,LED Desk Lamp,Manoj,1,The LED Desk Lamp arrived damaged and customer service was unhelpful. Customer support responded quickly.,Amazon,led desk lamp arrived damaged customer service unhelpful customer support responded quickly,negative,-0.0516,positive,0.3333333333333333,negative
245,Laptop Backpack,Deepak,5,Amazing value for money. The Laptop Backpack looks premium and works great.,Amazon,amazing value money laptop backpack look premium work great,positive,0.8834,positive,0.7000000000000001,positive
246,Air Fryer,Rahul,5,Great purchase! The Air Fryer is durable and easy to use.,Amazon,great purchase air fryer durable easy use,positive,0.807,positive,0.7166666666666667,positive
247,LED Desk Lamp,Amit,5,Amazing value for money. The LED Desk Lamp looks premium and works great. Shipping was quick.,Amazon,amazing value money led desk lamp look premium work great shipping quick,positive,0.8834,positive,0.5777777777777778,positive
248,Kitchen Mixer Grinder,Arjun,4,Impressed by the quality of the Kitchen Mixer Grinder. Packaging was also very good.,Flipkart,impressed quality kitchen mixer grinder packaging also good,positive,0.7425,positive,0.955,positive
249,Smartwatch,Riya,3,"Decent Smartwatch for the price, some minor issues but usable.",Amazon,decent smartwatch price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
250,Smartphone Back Cover,Manoj,5,"Excellent quality Smartphone Back Cover, totally worth the price. Highly recommended!",Amazon,excellent quality smartphone back cover totally worth price highly recommended,positive,0.8062,positive,0.375,positive
251,Wireless Mouse,Isha,2,"Poor build quality, the Wireless Mouse feels cheap and flimsy.",Flipkart,poor build quality wireless mouse feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
252,Office Chair,Sanjay,5,Best Office Chair I have bought online. Great build quality and fast delivery.,Amazon,best office chair bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
253,Smartphone Back Cover,Amit,3,"It's a fine Smartphone Back Cover, met basic expectations, could be better. Not sure if I will repurchase.",Flipkart,fine smartphone back cover met basic expectation could better not sure repurchase,positive,0.4094,positive,0.13333333333333336,neutral
254,LED Desk Lamp,Rahul,1,Delivery was late and the LED Desk Lamp was defective on arrival.,Amazon,delivery late led desk lamp defective arrival,negative,-0.4404,negative,-0.3,negative
255,Bluetooth Speaker,Deepak,5,Great purchase! The Bluetooth Speaker is durable and easy to use.,Amazon,great purchase bluetooth speaker durable easy use,positive,0.807,positive,0.7166666666666667,positive
256,Laptop Backpack,Sanjay,3,"Average Laptop Backpack, quality is decent for the price range.",Flipkart,average laptop backpack quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
257,Laptop Backpack,Vikram,3,"It's a fine Laptop Backpack, met basic expectations, could be better.",Flipkart,fine laptop backpack met basic expectation could better,positive,0.5719,positive,0.3055555555555556,neutral
258,LED Desk Lamp,Sanjay,3,"The LED Desk Lamp is okay, does the job but nothing special.",Amazon,led desk lamp okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
259,Bluetooth Speaker,Sanjay,5,Amazing value for money. The Bluetooth Speaker looks premium and works great.,Flipkart,amazing value money bluetooth speaker look premium work great,positive,0.8834,positive,0.7000000000000001,positive
260,Gaming Keyboard,Nisha,5,"Superb product! The Gaming Keyboard exceeded my expectations, five stars. Would consider buying again.",Amazon,superb product gaming keyboard exceeded expectation five star would consider buying,positive,0.6588,positive,1.0,positive
261,LED Desk Lamp,Nisha,1,"The LED Desk Lamp is a total scam, completely different from the pictures. Customer support responded quickly.",Flipkart,led desk lamp total scam completely different picture customer support responded quickly,negative,-0.25,positive,0.1111111111111111,negative
262,Gaming Keyboard,Amit,3,"The Gaming Keyboard is okay, does the job but nothing special.",Amazon,gaming keyboard okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
263,Wireless Bluetooth Earbuds,Deepak,3,"Decent Wireless Bluetooth Earbuds for the price, some minor issues but usable.",Flipkart,decent wireless bluetooth earbuds price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
264,Air Fryer,Neha,2,Delivery was late and the Air Fryer was defective on arrival.,Flipkart,delivery late air fryer defective arrival,negative,-0.4404,negative,-0.3,negative
265,Smartwatch,Priya,2,"I regret buying this Smartwatch, it stopped functioning after few uses.",Amazon,regret buying smartwatch stopped functioning us,negative,-0.5719,negative,-0.2,negative
266,Kitchen Mixer Grinder,Vikram,5,Great purchase! The Kitchen Mixer Grinder is durable and easy to use.,Flipkart,great purchase kitchen mixer grinder durable easy use,positive,0.807,positive,0.7166666666666667,positive
267,Gaming Keyboard,Sanjay,2,"Poor build quality, the Gaming Keyboard feels cheap and flimsy. Would consider buying again.",Amazon,poor build quality gaming keyboard feel cheap flimsy would consider buying,negative,-0.4767,neutral,0.0,negative
268,USB-C Charging Cable,Vikram,5,"Excellent quality USB-C Charging Cable, totally worth the price. Highly recommended!",Amazon,excellent quality usb charging cable totally worth price highly recommended,positive,0.8062,positive,0.5,positive
269,Wireless Bluetooth Earbuds,Suresh,5,"This Wireless Bluetooth Earbuds is fantastic, exactly as described. Very satisfied customer. Packaging was neat.",Flipkart,wireless bluetooth earbuds fantastic exactly described satisfied customer packaging neat,positive,0.8655,positive,0.43333333333333335,positive
270,Smartwatch,Neha,2,Delivery was late and the Smartwatch was defective on arrival.,Flipkart,delivery late smartwatch defective arrival,negative,-0.4404,negative,-0.3,negative
271,Wireless Bluetooth Earbuds,Rohit,5,"This Wireless Bluetooth Earbuds is fantastic, exactly as described. Very satisfied customer.",Flipkart,wireless bluetooth earbuds fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
272,Wireless Bluetooth Earbuds,Amit,5,Great purchase! The Wireless Bluetooth Earbuds is durable and easy to use.,Amazon,great purchase wireless bluetooth earbuds durable easy use,positive,0.807,positive,0.7166666666666667,positive
273,Running Shoes,Pooja,5,"Very happy with this Running Shoes, will definitely buy again from this brand.",Amazon,happy running shoe definitely buy brand,positive,0.7713,positive,0.5,positive
274,Running Shoes,Neha,5,Impressed by the quality of the Running Shoes. Packaging was also very good.,Amazon,impressed quality running shoe packaging also good,positive,0.7425,positive,0.955,positive
275,Running Shoes,Nisha,5,Impressed by the quality of the Running Shoes. Packaging was also very good.,Amazon,impressed quality running shoe packaging also good,positive,0.7425,positive,0.955,positive
276,Laptop Backpack,Suresh,3,"Okay-ish product, the Laptop Backpack performs as expected, nothing more.",Flipkart,okay ish product laptop backpack performs expected nothing,neutral,0.0,positive,0.2,neutral
277,Wireless Mouse,Priya,5,"Perfect Wireless Mouse for daily use, no issues at all after a month.",Amazon,perfect wireless mouse daily use no issue month,positive,0.3612,positive,0.5,positive
278,Laptop Backpack,Vikram,2,Delivery was late and the Laptop Backpack was defective on arrival. Customer support responded quickly.,Flipkart,delivery late laptop backpack defective arrival customer support responded quickly,negative,-0.0516,neutral,0.016666666666666663,negative
279,Office Chair,Neha,2,The Office Chair arrived damaged and customer service was unhelpful.,Flipkart,office chair arrived damaged customer service unhelpful,negative,-0.4404,neutral,0.0,negative
280,LED Desk Lamp,Neha,2,"Really bad LED Desk Lamp, would not recommend to anyone.",Flipkart,really bad led desk lamp would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
281,Gaming Keyboard,Deepak,4,Amazing value for money. The Gaming Keyboard looks premium and works great.,Flipkart,amazing value money gaming keyboard look premium work great,positive,0.8834,positive,0.7000000000000001,positive
282,Wireless Mouse,Arjun,3,"The Wireless Mouse is okay, does the job but nothing special.",Amazon,wireless mouse okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
283,Power Bank 10000mAh,Nisha,5,Great purchase! The Power Bank 10000mAh is durable and easy to use.,Flipkart,great purchase power bank mah durable easy use,positive,0.807,positive,0.7166666666666667,positive
284,Laptop Backpack,Sneha,1,"Not worth the price, this Laptop Backpack broke on the second day.",Amazon,not worth price laptop backpack broke second day,negative,-0.5371,neutral,-0.075,negative
285,Wireless Bluetooth Earbuds,Rohit,5,"This Wireless Bluetooth Earbuds is fantastic, exactly as described. Very satisfied customer.",Flipkart,wireless bluetooth earbuds fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
286,LED Desk Lamp,Sanjay,1,Delivery was late and the LED Desk Lamp was defective on arrival.,Amazon,delivery late led desk lamp defective arrival,negative,-0.4404,negative,-0.3,negative
287,LED Desk Lamp,Anjali,5,Great purchase! The LED Desk Lamp is durable and easy to use.,Flipkart,great purchase led desk lamp durable easy use,positive,0.807,positive,0.7166666666666667,positive
288,Office Chair,Arjun,5,Impressed by the quality of the Office Chair. Packaging was also very good.,Flipkart,impressed quality office chair packaging also good,positive,0.7425,positive,0.955,positive
289,Smartwatch,Kavya,3,"Decent Smartwatch for the price, some minor issues but usable.",Flipkart,decent smartwatch price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
290,Wireless Mouse,Pooja,5,"Superb product! The Wireless Mouse exceeded my expectations, five stars.",Flipkart,superb product wireless mouse exceeded expectation five star,positive,0.6588,positive,1.0,positive
291,Bluetooth Speaker,Karan,5,Impressed by the quality of the Bluetooth Speaker. Packaging was also very good.,Flipkart,impressed quality bluetooth speaker packaging also good,positive,0.7425,positive,0.955,positive
292,Wireless Mouse,Rahul,1,"Terrible experience, the Wireless Mouse does not match the product description.",Flipkart,terrible experience wireless mouse not match product description,negative,-0.4767,negative,-1.0,negative
293,Office Chair,Arjun,5,"Very happy with this Office Chair, will definitely buy again from this brand. Customer support responded quickly.",Flipkart,happy office chair definitely buy brand customer support responded quickly,positive,0.8553,positive,0.4444444444444444,positive
